sample_178	2	14	22	26	36	48	
sample_179	3	15	23	27	33	45	
sample_180	4	16	24	28	34	46	
sample_181	5	9	17	29	39	43	
sample_182	6	10	18	30	40	44	
sample_183	7	11	19	31	37	41	
sample_184	8	12	20	32	38	42	
sample_185	1	14	23	28	39	44	
sample_186	2	13	24	27	40	43	
sample_187	3	16	21	26	37	42	
sample_188	4	15	22	25	38	41	
sample_189	5	10	19	32	35	48	
sample_190	6	9	20	31	36	47	
sample_191	7	12	17	30	33	46	
sample_192	8	11	18	29	34	45	
sample_193	1	12	24	29	34	43	
sample_194	2	11	23	30	33	44	
sample_195	3	10	22	31	36	41	
sample_196	4	9	21	32	35	42	
sample_197	5	16	20	25	38	47	
sample_198	6	15	19	26	37	48	
sample_199	7	14	18	27	40	45	
sample_200	8	13	17	28	39	46	
sample_201	1	11	22	32	38	48	
sample_202	2	12	21	31	37	47	
sample_203	3	9	24	30	40	46	
sample_204	4	10	23	29	39	45	
sample_205	5	15	18	28	34	44	
sample_206	6	16	17	27	33	43	
sample_207	7	13	20	26	36	42	
sample_208	8	14	19	25	35	41	
sample_209	1	10	20	27	35	44	
sample_210	2	9	19	28	36	43	
sample_211	3	12	18	25	33	42	
sample_212	4	11	17	26	34	41	
sample_213	5	14	24	31	39	48	
sample_214	6	13	23	32	40	47	
sample_215	7	16	22	29	37	46	
sample_216	8	15	21	30	38	45	
sample_217	1	9	18	26	39	47	
sample_218	2	10	17	25	40	48	
sample_219	3	11	20	28	37	45	
sample_220	4	12	19	27	38	46	
sample_221	5	13	22	30	35	43	
sample_222	6	14	21	29	36	44	
sample_223	7	15	24	32	33	41	
sample_224	8	16	23	31	34	42	
sample_225	1	16	21	28	40	41	
sample_226	2	15	22	27	39	42	
sample_227	3	14	23	26	38	43	
sample_228	4	13	24	25	37	44	
sample_229	5	12	17	32	36	45	
sample_230	6	11	18	31	35	46	
sample_231	7	10	19	30	34	47	
sample_232	8	9	20	29	33	48	
sample_233	1	15	23	25	36	46	
sample_234	2	16	24	26	35	45	
sample_235	3	13	21	27	34	48	
sample_236	4	14	22	28	33	47	
sample_237	5	11	19	29	40	42	
sample_238	6	12	20	30	39	41	
sample_239	7	9	17	31	38	44	
sample_240	8	10	18	32	37	43	
sample_241	1	14	17	30	37	42	
sample_242	2	13	18	29	38	41	
sample_243	3	16	19	32	39	44	
sample_244	4	15	20	31	40	43	
sample_245	5	10	21	26	33	46	
sample_246	6	9	22	25	34	45	
sample_247	7	12	23	28	35	48	
sample_248	8	11	24	27	36	47	
sample_249	1	13	19	31	33	45	
sample_250	2	14	20	32	34	46	
sample_251	3	15	17	29	35	47	
sample_252	4	16	18	30	36	48	
sample_253	5	9	23	27	37	41	
sample_254	6	10	24	28	38	42	
sample_255	7	11	21	25	39	43	
sample_256	8	12	22	26	40	44	
sample_257	1	13	23	27	38	42	
sample_258	2	14	24	28	37	41	
sample_259	3	15	21	25	40	44	
sample_260	4	16	22	26	39	43	
sample_261	5	9	19	31	34	46	
sample_262	6	10	20	32	33	45	
sample_263	7	11	17	29	36	48	
sample_264	8	12	18	30	35	47	
sample_265	1	14	21	26	34	45	
sample_266	2	13	22	25	33	46	
sample_267	3	16	23	28	36	47	
sample_268	4	15	24	27	35	48	
sample_269	5	10	17	30	38	41	
sample_270	6	9	18	29	37	42	
sample_271	7	12	19	32	40	43	
sample_272	8	11	20	31	39	44	
sample_273	1	15	19	29	39	41	
sample_274	2	16	20	30	40	42	
sample_275	3	13	17	31	37	43	
sample_276	4	14	18	32	38	44	
sample_277	5	11	23	25	35	45	
sample_278	6	12	24	26	36	46	
sample_279	7	9	21	27	33	47	
sample_280	8	10	22	28	34	48	
sample_281	1	16	17	32	35	46	
sample_282	2	15	18	31	36	45	
sample_283	3	14	19	30	33	48	
sample_284	4	13	20	29	34	47	
sample_285	5	12	21	28	39	42	
sample_286	6	11	22	27	40	41	
sample_287	7	10	23	26	37	44	
sample_288	8	9	24	25	38	43	
sample_289	1	9	22	30	36	44	
sample_290	2	10	21	29	35	43	
sample_291	3	11	24	32	34	42	
sample_292	4	12	23	31	33	41	
sample_293	5	13	18	26	40	48	
sample_294	6	14	17	25	39	47	
sample_295	7	15	20	28	38	46	
sample_296	8	16	19	27	37	45	
sample_297	1	10	24	31	40	47	
sample_298	2	9	23	32	39	48	
sample_299	3	12	22	29	38	45	
sample_300	4	11	21	30	37	46	
sample_301	5	14	20	27	36	43	
sample_302	6	13	19	28	35	44	
sample_303	7	16	18	25	34	41	
sample_304	8	15	17	26	33	42	
sample_305	1	11	18	28	33	43	
sample_306	2	12	17	27	34	44	
sample_307	3	9	20	26	35	41	
sample_308	4	10	19	25	36	42	
sample_309	5	15	22	32	37	47	
sample_310	6	16	21	31	38	48	
sample_311	7	13	24	30	39	45	
sample_312	8	14	23	29	40	46	
sample_313	1	12	20	25	37	48	
sample_314	2	11	19	26	38	47	
sample_315	3	10	18	27	39	46	
sample_316	4	9	17	28	40	45	
sample_317	5	16	24	29	33	44	
sample_318	6	15	23	30	34	43	
sample_319	7	14	22	31	35	42	
sample_320	8	13	21	32	36	41	
sample_321	1	14	19	32	36	47	
sample_322	2	13	20	31	35	48	
sample_323	3	16	17	30	34	45	
sample_324	4	15	18	29	33	46	
sample_325	5	10	23	28	40	43	
sample_326	6	9	24	27	39	44	
sample_327	7	12	21	26	38	41	
sample_328	8	11	22	25	37	42	
sample_329	1	13	17	29	40	44	
sample_330	2	14	18	30	39	43	
sample_331	3	15	19	31	38	42	
sample_332	4	16	20	32	37	41	
sample_333	5	9	21	25	36	48	
sample_334	6	10	22	26	35	47	
sample_335	7	11	23	27	34	46	
sample_336	8	12	24	28	33	45	
sample_337	1	16	23	26	33	48	
sample_338	2	15	24	25	34	47	
sample_339	3	14	21	28	35	46	
sample_340	4	13	22	27	36	45	
sample_341	5	12	19	30	37	44	
sample_342	6	11	20	29	38	43	
sample_343	7	10	17	32	39	42	
sample_344	8	9	18	31	40	41	
sample_345	1	15	21	27	37	43	
sample_346	2	16	22	28	38	44	
sample_347	3	13	23	25	39	41	
sample_348	4	14	24	26	40	42	
sample_349	5	11	17	31	33	47	
sample_350	6	12	18	32	34	48	
sample_351	7	9	19	29	35	45	
sample_352	8	10	20	30	36	46	
sample_353	1	10	18	25	38	45	
sample_354	2	9	17	26	37	46	
sample_355	3	12	20	27	40	47	
sample_356	4	11	19	28	39	48	
sample_357	5	14	22	29	34	41	
sample_358	6	13	21	30	33	42	
sample_359	7	16	24	31	36	43	
sample_360	8	15	23	32	35	44	
sample_361	1	9	20	28	34	42	
sample_362	2	10	19	27	33	41	
sample_363	3	11	18	26	36	44	
sample_364	4	12	17	25	35	43	
sample_365	5	13	24	32	38	46	
sample_366	6	14	23	31	37	45	
sample_367	7	15	22	30	40	48	
sample_368	8	16	21	29	39	47	
sample_369	1	12	22	31	39	46	
sample_370	2	11	21	32	40	45	
sample_371	3	10	24	29	37	48	
sample_372	4	9	23	30	38	47	
sample_373	5	16	18	27	35	42	
sample_374	6	15	17	28	36	41	
sample_375	7	14	20	25	33	44	
sample_376	8	13	19	26	34	43	
sample_377	1	11	24	30	35	41	
sample_378	2	12	23	29	36	42	
sample_379	3	9	22	32	33	43	
sample_380	4	10	21	31	34	44	
sample_381	5	15	20	26	39	45	
sample_382	6	16	19	25	40	46	
sample_383	7	13	18	28	37	47	
sample_384	8	14	17	27	38	48	
